round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-1,Minion-2,Servant-3,Servant-4,Servant-1
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.45509061217308044,1.0,0.49621081352233887,0.5037891864776611,0.49128061532974243,0.459948867559433
3,0.034343402832746506,1.0,0.09742819517850876,0.9025717973709106,0.03883841261267662,0.034589141607284546
4,0.049830112606287,1.0,0.30208757519721985,0.6979123950004578,0.15187163650989532,0.139120951294899
4,0.13594231009483337,1.0,0.30208757519721985,0.6979123950004578,0.15187163650989532,0.139120951294899
4,0.13594231009483337,1.0,0.1260891705751419,0.6505331993103027,0.3494667708873749,0.3265131711959839
4,0.13594231009483337,1.0,0.1260891705751419,0.8481283783912659,0.15187163650989532,0.139120951294899
4,0.3206477463245392,1.0,0.1260891705751419,0.6734867691993713,0.15187163650989532,0.3265131711959839
5,0.44052091240882874,1.0,0.08527916669845581,0.2297287881374359,0.5594791173934937,0.08045371621847153
5,0.44052091240882874,1.0,0.21856024861335754,0.09042509645223618,0.5594791173934937,0.08045371621847153
5,0.44052091240882874,1.0,0.08527916669845581,0.47222089767456055,0.5277791023254395,0.2079073041677475
5,0.44052091240882874,1.0,0.08527916669845581,0.2297287881374359,0.5594791173934937,0.08045371621847153
