round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-4,Minion-2,Minion-1,Servant-2,Servant-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3621571362018585,0.49962282180786133,1.0,0.5003771781921387,0.49128061532974243,0.49621081352233887
3,0.46622636914253235,0.53377366065979,1.0,0.16593699157238007,0.1625930666923523,0.061740558594465256
4,0.5189932584762573,0.4810067117214203,1.0,0.19294539093971252,0.07451844960451126,0.0753028467297554
4,0.5189932584762573,0.4810067117214203,1.0,0.19294539093971252,0.4201779365539551,0.19633878767490387
4,0.5798220634460449,0.09336408972740173,1.0,0.07380922138690948,0.4201779365539551,0.0753028467297554
4,0.5189932584762573,0.4810067117214203,1.0,0.19294539093971252,0.4201779365539551,0.4229380786418915
4,0.5189932584762573,0.4810067117214203,1.0,0.07380922138690948,0.4201779365539551,0.19633878767490387
