round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-3,Servant-4,Servant-2,Servant-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.2776152193546295,0.4036431610584259,0.5411481857299805,0.45885181427001953,0.0,0.5445351600646973
3,0.603412926197052,0.3965870141983032,0.10746726393699646,0.06383795291185379,0.0,0.6156241297721863
3,0.8202908039093018,0.17970924079418182,0.10746726393699646,0.06383795291185379,0.0,0.8277305364608765
4,0.8048740029335022,0.1791752427816391,0.780016303062439,0.1668170541524887,0.0,0.21998371183872223
4,0.3719172775745392,0.5215891599655151,0.33731573820114136,0.47841084003448486,0.0,0.584820568561554
4,0.3923153579235077,0.26654914021492004,0.7205785512924194,0.6076846122741699,0.0,0.1353301703929901
4,0.3142801523208618,0.2050873339176178,0.7205785512924194,0.1913585662841797,0.0,0.6857198476791382
4,0.5789411067962646,0.3957194685935974,0.5416902303695679,0.37525367736816406,0.0,0.4583097994327545
5,0.6407098770141602,0.5035157203674316,0.49648424983024597,0.04215699061751366,0.0,0.05784303694963455
5,0.3728134334087372,0.8365585207939148,0.6271865963935852,0.014660455286502838,0.0,0.020332593470811844
5,0.6407098174095154,0.5035157203674316,0.49648424983024597,0.014458687976002693,0.0,0.020054349675774574
5,0.6374661326408386,0.3625338673591614,0.7473539113998413,0.024419117718935013,0.0,0.09481517225503922
