round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-1,Servant-2,Servant-3,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.3579944968223572,0.0,0.49165770411491394,0.3625057339668274,0.5083423256874084,0.5087193846702576
3,0.3254393935203552,0.0,0.7720957398414612,0.3239220082759857,0.6745606064796448,0.24959290027618408
3,0.25129979848861694,0.0,0.8306034207344055,0.5897197127342224,0.4102803170681,0.40975481271743774
3,0.10062456130981445,0.0,0.8306034207344055,0.8117496371269226,0.1882503777742386,0.18791863322257996
4,0.5969149470329285,0.0,0.2407820075750351,0.5735387206077576,0.42646127939224243,0.4236758053302765
4,0.5996542572975159,0.0,0.5641241669654846,0.10457068681716919,0.20666742324829102,0.435875803232193
4,0.5364620685577393,0.0,0.4875563979148865,0.5124436020851135,0.42646127939224243,0.075513556599617
4,0.330486536026001,0.0,0.7216185927391052,0.13000430166721344,0.669513463973999,0.24786902964115143
4,0.7676225304603577,0.0,0.7405496835708618,0.2594502866268158,0.20666742324829102,0.20480495691299438
