round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-1,Servant-2,Servant-3,Minion-1
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.49621081352233887,0.3916584849357605,0.3621571362018585,0.49962282180786133,0.5003771781921387
3,1.0,0.0636485368013382,0.6204120516777039,0.08901549130678177,0.37958788871765137,0.169091135263443
3,1.0,0.16938357055187225,0.6204120516777039,0.08901549130678177,0.37958788871765137,0.169091135263443
3,1.0,0.16938357055187225,0.5320786237716675,0.4679213762283325,0.37958788871765137,0.06352468580007553
4,1.0,0.7072632312774658,0.29273679852485657,0.12664473056793213,0.2444106489419937,0.24231190979480743
4,1.0,0.7072632312774658,0.29273679852485657,0.12664473056793213,0.09732905775308609,0.24231190979480743
4,1.0,0.4460895359516144,0.5539104342460632,0.10457068681716919,0.43868041038513184,0.20480495691299438
4,1.0,0.43382352590560913,0.4875563979148865,0.5124436020851135,0.42646127939224243,0.1968161016702652
4,1.0,0.43382352590560913,0.4875563681125641,0.5124436020851135,0.42646124958992004,0.4236758351325989
