round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-2,Servant-3,Servant-2,Minion-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.3452150225639343,0.3230147659778595,0.6262379288673401,0.47593146562576294,0.0,0.5240685343742371
2,0.43807661533355713,0.413677453994751,0.5035742521286011,0.5766696333885193,0.0,0.49642571806907654
3,0.21190008521080017,0.20686566829681396,0.7651691436767578,0.8865533471107483,0.0,0.23483088612556458
3,0.08870881795883179,0.08628079295158386,0.2658086121082306,0.8779746890068054,0.0,0.734191358089447
3,0.08870881795883179,0.45941656827926636,0.2658086121082306,0.754004955291748,0.0,0.5405834317207336
3,0.4669784605503082,0.45941656827926636,0.2658086121082306,0.748320460319519,0.0,0.5330215096473694
3,0.21190008521080017,0.43897804617881775,0.5610219240188599,0.754004955291748,0.0,0.23483088612556458
4,0.5770300030708313,0.2423945814371109,0.7777116298675537,0.4229699969291687,0.0,0.4069475531578064
4,0.5930524468421936,0.27234238386154175,0.5547232627868652,0.22228839993476868,0.0,0.44527667760849
4,0.31259408593177795,0.12701480090618134,0.7194605469703674,0.6874058842658997,0.0,0.23782917857170105
4,0.5102444887161255,0.4897556006908417,0.46087390184402466,0.6961440443992615,0.0,0.1861518770456314
4,0.5930524468421936,0.2423945814371109,0.2217603176832199,0.7621708512306213,0.0,0.4069475531578064
